rank,name,address,bakeryName,bakeryRank,snapshotBakeTx,rewardUsd,gasUsd,netUsd,roiPct,rewardEth,gasEth,netEth
1,,0xc2b176d0f08e0badc520aadf8be279539d7242c7,Cockring Cookie Cult,5,97283,1408.5307231251688,1208.0028919688887,200.52783115628017,16.599946282367398,0.667658633622614,0.5726062960661753,0.09505233755643872
2,,0x8314f1c54488262bb9b0cf7051c726d1764978c8,Cockring Cookie Cult,5,94924,1375.7006743403485,1179.2697516187059,196.43092272164262,16.65699662456489,0.6520968392268172,0.5589864801041027,0.09311035912271448
3,,0x293091f6b91edc944021f1830dce52ebfa9616a5,Cockring Cookie Cult,5,94505,1369.6975757756766,1174.068582573243,195.62899320243363,16.662484296587465,0.6492513062757872,0.556521070325586,0.09273023595020125
4,,0x6c9ce77d1758658f265b84ae2fdb668b7d637685,Peaceful Bakery,6,92692,1337.1729819325058,1148.7563420420108,188.4166398904948,16.40179322584356,0.6338343007906095,0.5445227974803102,0.08931150331029936
5,,0xda062c08f0cd5332a03531498772aac188d17bbd,Peaceful Bakery,6,91783,1324.8653717760058,1137.6165335206008,187.24883825540508,16.459750077288607,0.6280003618886476,0.5392424090485122,0.08875795284013543
6,,0x8ceb4ebc5c4841c2e596c90ee16471967b6e74fe,Cockring Cookie Cult,5,72434,1061.7696745409164,900.6625917535902,161.10708278732636,17.88761787848331,0.5032901863532299,0.4269237053139995,0.07636648103923038
7,,0xb0606b833c93f25073803b6ff4f2d44e8b83b8c8,Cockring Cookie Cult,5,72260,1059.427185117761,898.476880318924,160.95030479883692,17.913683515340526,0.5021798213027115,0.42588765470750317,0.07629216659520838
8,,0xdbfcba742a6e78e932b66cab4f85eae142e29016,Cockring Cookie Cult,5,69533,1021.5255109092923,864.601974718207,156.92353619108528,18.149800807733538,0.4842140221912165,0.4098305870013131,0.07438343518990342
9,,0xfcddd677d742beca8dddce93cb554f5c23d79b1f,Cockring Cookie Cult,5,69232,1017.6195963008685,860.9714547102853,156.6481415905831,18.194347876875288,0.4823625768746949,0.4081096816720701,0.07425289520262479
10,,0xd44b0c0e5b825f6ab7a4db5209218cfd06836592,The Cookie Burglars,9,78188,1114.2021962013275,971.0125309786156,143.18966522271194,14.746428151488535,0.5281437626327068,0.4602703292301613,0.06787343340254548
