rank,name,address,bakeryName,bakeryRank,snapshotBakeTx,rewardUsd,gasUsd,netUsd,roiPct,rewardEth,gasEth,netEth
1,Misix,0xdfb3296753e8a91c7d2e47da0e3d677cd20c9729,0 Bakery,1,88441,1595.7305185846099,1268.0878890723125,327.6426295122975,25.83753321325299,0.6976959229678326,0.5544418307894424,0.14325409217839014
2,FlooKi,0x6968c93abfdf34e9ec6b2609501cfeb465d6532a,0 Bakery,1,94681,1682.3908029819775,1357.519462247829,324.8713407341483,23.93124737940882,0.7355861095645679,0.5935436987191864,0.1420424108453815
3,Azin0,0xb5748a472adfa371244cdc5a0a13189410cf8097,0 Bakery,1,86547,1559.8289178937573,1240.893547632246,318.9353702615113,25.702073386558677,0.6819987860526067,0.5425517397436443,0.13944704630896232
4,LeandreF,0x808d581031c8a39f861df563b35e2c8f548f7b59,0 Bakery,1,82286,1482.0629840494464,1179.8451271280644,302.21785692138195,25.6150447183716,0.6479974466302793,0.5158597428222764,0.13213770380800283
5,Tonerre,0x34b04d588e29334180a1052add4c219356759e85,0 Bakery,1,72173,1336.6642084759026,1034.8376645047936,301.82654397110895,29.16655957971375,0.5844252257942976,0.45245861444008334,0.13196661135421422
6,Husak,0xe134e9dbf5cc2f6a17026fd5b24135dff946b52f,0 Bakery,1,76361,1398.3375057370856,1096.5456044258708,301.791901311215,27.522056546770546,0.611390435492284,0.47943897083250675,0.13195146465977725
7,Sarah69,0xbb7bcd4d6b53a92105f6eed1c7b176e31544623a,0 Bakery,1,73462,1352.9504128897652,1053.4082031573896,299.54220973237545,28.43553038931679,0.5915459885345197,0.4605781490070634,0.13096783952745628
8,,0x0e7b7aa24868689ae846ceead6aed450c8f8c014,0 Bakery,1,89060,1576.2267021170749,1277.526134332119,298.70056778495575,23.381170823649267,0.6891683344601051,0.5585684832292155,0.13059985123088957
9,HakanWinners,0xd564d3f5e1322ce77c2192ac28b7e74d86b0a231,0 Bakery,1,79533,1437.4068932118587,1141.2719178273012,296.13497538455744,25.947801812939108,0.6284726132387982,0.49899450740094836,0.12947810583784986
10,TheVs,0x164cb4eacf03e4635f7c040d28e2fb2f129bb462,ZolotoGang,2,73272,1332.5232863538054,1049.7841174208277,282.7391689329775,26.933077405250515,0.582614704250549,0.45899360210930285,0.12362110214124611
